N,a,trial_index,success,time_seconds
4,3,0,0,0.17298830801155418
4,3,1,0,0.06497296399902552
4,3,2,0,0.06599745497805998
4,3,3,0,0.07212670298758894
4,3,4,0,0.06016918603563681
