a,trial_index,success,runtime_s
2,0,1,0.09226380009204149
2,1,1,0.13498069997876883
2,2,1,0.12384889926761389
2,3,1,0.1304847002029419
2,4,1,0.12987140007317066
2,5,1,0.12337059993296862
2,6,1,0.14573070034384727
2,7,1,0.1264011999592185
2,8,1,0.11773599963635206
2,9,1,0.11764619965106249
2,10,1,0.11427909974008799
2,11,1,0.1318044001236558
2,12,1,0.1236444003880024
2,13,1,0.12137719988822937
2,14,1,0.12461599987000227
2,15,1,0.12595419958233833
2,16,1,0.12311050016433
2,17,1,0.11999370064586401
2,18,1,0.11290930025279522
2,19,1,0.1202492006123066
4,0,1,0.1147087998688221
4,1,1,0.11917410045862198
4,2,1,0.11238230019807816
4,3,1,0.10815590061247349
4,4,1,0.10848109982907772
4,5,1,0.11042849998921156
4,6,1,0.11740580014884472
4,7,1,0.11567190010100603
4,8,1,0.1126270005479455
4,9,1,0.10833719931542873
4,10,1,0.11443659942597151
4,11,1,0.11902039963752031
4,12,1,0.11188550014048815
4,13,1,0.10870989970862865
4,14,1,0.10734030045568943
4,15,1,0.11040460038930178
4,16,1,0.11913140024989843
4,17,1,0.12270220089703798
4,18,1,0.11318840086460114
4,19,1,0.10788930021226406
7,0,1,0.1503456998616457
7,1,1,0.1615334004163742
7,2,1,0.16241499967873096
7,3,1,0.1530232997611165
7,4,1,0.15234840009361506
7,5,1,0.1587205994874239
7,6,1,0.16258979961276054
7,7,1,0.15808899980038404
7,8,1,0.1492241993546486
7,9,1,0.1538656000047922
7,10,1,0.16912630014121532
7,11,1,0.155494200065732
7,12,1,0.15391020011156797
7,13,1,0.1647718995809555
7,14,1,0.17976380046457052
7,15,1,0.16385310050100088
7,16,1,0.14521839935332537
7,17,1,0.1434410996735096
7,18,1,0.14835149981081486
7,19,1,0.15199710056185722
8,0,1,0.14409479964524508
8,1,1,0.12987879943102598
8,2,1,0.11667919997125864
8,3,1,0.12813750002533197
8,4,1,0.12428920064121485
8,5,1,0.11844079941511154
8,6,1,0.11891849990934134
8,7,1,0.11948520038276911
8,8,1,0.1239224998280406
8,9,1,0.13107950054109097
8,10,1,0.1906198002398014
8,11,1,0.12637860048562288
8,12,1,0.11887060012668371
8,13,1,0.1311804000288248
8,14,1,0.1407170994207263
8,15,1,0.12597250007092953
8,16,1,0.11893639992922544
8,17,1,0.11886490043252707
8,18,1,0.12416330073028803
8,19,1,0.12302509974688292
11,0,1,0.14663910027593374
11,1,1,0.161998700350523
11,2,1,0.14837640058249235
11,3,1,0.15452850051224232
11,4,1,0.1701446007937193
11,5,1,0.14823099970817566
11,6,1,0.1496441001072526
11,7,1,0.15705680008977652
11,8,1,0.14148590061813593
11,9,1,0.14142659958451986
11,10,1,0.15277810022234917
11,11,1,0.14598659984767437
11,12,1,0.15285620000213385
11,13,1,0.14630190003663301
11,14,1,0.15547570027410984
11,15,1,0.15138749964535236
11,16,1,0.14714300073683262
11,17,1,0.1402447996661067
11,18,1,0.14149769954383373
11,19,1,0.13993619941174984
13,0,1,0.1624433994293213
13,1,1,0.1552496999502182
13,2,1,0.15348439943045378
13,3,1,0.15898179914802313
13,4,1,0.1631823992356658
13,5,1,0.15684599988162518
13,6,1,0.14954120013862848
13,7,1,0.14595390018075705
13,8,1,0.14640839956700802
13,9,1,0.154284100048244
13,10,1,0.15995350014418364
13,11,1,0.1592294005677104
13,12,1,0.1564262006431818
13,13,1,0.15052909962832928
13,14,1,0.21066580060869455
13,15,1,0.1538250995799899
13,16,1,0.16388109978288412
13,17,1,0.1582412999123335
13,18,1,0.16393319983035326
13,19,1,0.1675107004120946
